epoch,epoch_train_seconds,epoch_val_seconds,epoch_total_seconds,train_loss,train_L_metric_multiscale,train_L_log,train_L_sparse_pre_anchor,train_L_edge,train_w_metric,train_w_log,train_w_sparse,train_w_edge,train_metric_D16,train_metric_D8,train_metric_D4,train_metric_D2,train_metric_D1,train_mean_fusion_gate4,train_mean_fusion_gate8,train_mean_fusion_gate16,train_mean_residual_gate_8,train_mean_residual_gate_4,train_mean_residual_gate_2,train_mean_residual_gate_1,val_rmse,val_mae,val_irmse,val_imae,val_abs_rel,val_delta1,val_delta2,val_delta3,val_valid_pixels,val_macro_rmse,val_macro_mae,val_macro_irmse,val_macro_imae,val_macro_abs_rel,val_macro_delta1,val_macro_delta2,val_macro_delta3,val_macro_rmse_0_20,val_macro_mae_0_20,val_macro_rmse_20_40,val_macro_mae_20_40,val_macro_rmse_40_60,val_macro_mae_40_60,val_macro_rmse_60_80,val_macro_mae_60_80,val_macro_rmse_80_120,val_macro_mae_80_120,val_macro_rmse_edge,val_macro_mae_edge,val_macro_rmse_nonedge,val_macro_mae_nonedge,val_rmse_0_20,val_mae_0_20,val_valid_pixels_0_20,val_rmse_20_40,val_mae_20_40,val_valid_pixels_20_40,val_rmse_40_60,val_mae_40_60,val_valid_pixels_40_60,val_rmse_60_80,val_mae_60_80,val_valid_pixels_60_80,val_rmse_80_120,val_mae_80_120,val_valid_pixels_80_120,val_rmse_edge,val_mae_edge,val_valid_pixels_edge,val_rmse_nonedge,val_mae_nonedge,val_valid_pixels_nonedge,best_rmse
0,257.971992398,45.171871587000055,303.1438966989999,17.279662787914276,16.364111844301224,0.051876114571932704,9.051615505218505,0.00028331321206678697,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,10.224042395353317,9.832984778881073,9.354175958037377,8.587954259216785,8.237090090811252,0.10496414184570313,0.10148056030273438,0.10368461608886718,0.07014019012451173,0.08097286224365234,0.07362091064453125,0.07087379455566406,9.028668788371478,4.693747604749738,39.199476867654916,23.229795287398712,0.3391271748682482,0.5631891644253024,0.7496125465840855,0.8795504832410567,25424992,8.78067143559456,4.72504859060049,38.53050163984299,24.696137866973878,0.3592607665807009,0.5571251318603754,0.7391841259226203,0.8702455447614192,4.000489815473556,2.7170057263970375,8.03377104826478,5.940185100065371,25.63219484265482,22.821094517842663,42.80665059076738,38.645972590459394,61.15879803921314,61.15158741727788,10.247264275550842,5.638470949530602,8.432040073871612,4.566339683234691,4.112756439112892,2.6918111533441826,19685953,8.279682194025614,6.122037758748918,4254287,26.000197691687006,23.16863580218916,1120771,43.06047303157046,38.8911805248811,355995,61.49214744890026,61.472674756488374,7986,10.512685440605765,5.492118360625021,4669922,8.659785538859587,4.51411298371163,20755070,9.028668788371478
1,146.1121660959999,36.27060276299994,182.38279753099994,7.565098848342895,7.1601923590898515,0.01631316619226709,4.016286860704422,0.0003035282289420138,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,8.417690464258193,6.474758400321007,4.928704173117876,3.3337612606585028,3.1927753046900036,0.1357000732421875,0.11376556396484375,0.14567092895507813,0.26007919311523436,0.2959759521484375,0.22815628051757814,0.226044921875,8.004759207263877,2.806374520104323,16.48754924739931,7.4858658175167765,0.1012650312245781,0.8566117936241632,0.917423848156963,0.9518439573156995,25424992,7.560889247208833,2.799538878723979,15.73193511724472,8.339679054617882,0.10704773352481425,0.849782082438469,0.9139620664715767,0.9501853097975254,1.1435763531923293,0.5311872313171625,7.244750288331539,5.125808005669255,24.69642222142158,21.956955921374128,41.91161716533547,37.830078636727684,60.1579212432212,60.15104517835252,9.197299044728279,3.9881823778897525,7.134351195693016,2.579540109336376,1.135520302385059,0.5029168693300783,19685953,7.470137099405397,5.270683700449443,4254287,25.06292329703609,22.297103122501618,1120771,42.17049709575709,38.07778778132965,355995,60.524789838425626,60.506141527416176,7986,9.627257979398367,3.848915698732495,4669922,7.592057905050941,2.5718011932737626,20755070,8.004759207263877
2,145.78676214799998,36.541888094000115,182.328675364,5.346691674813628,5.038345327451825,0.009963325546705164,3.063408191278577,0.0002571521935351484,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,5.785417598187923,3.8940219412744046,2.8080535484850406,2.3970655071735383,2.4591261058487,0.14947372436523437,0.11721878051757813,0.16050857543945313,0.37474365234375,0.3768463134765625,0.227423095703125,0.23197601318359376,7.790348933553948,2.6007448045838495,12.300923075141851,5.6063482116213645,0.08364900635255962,0.8775968149763823,0.9267138412472263,0.9571361517045905,25424992,7.333060686960817,2.5834745594859125,12.137090438604355,6.052623813450336,0.08602272802963853,0.8753529134392738,0.926233577132225,0.9567818136513233,0.9526010383665562,0.38906997967511414,6.821778940313709,4.720975064810938,24.111102567540343,21.416642767604642,41.30598923184361,37.27723858220791,59.575350237907244,59.56651673012591,8.940895997881888,3.735329718068242,6.91012814283371,2.369936191290617,0.9628937232993211,0.37056337940600653,19685953,7.032790876341102,4.848248685870772,4254287,24.465401914652386,21.743020027902357,1120771,41.55630979883025,37.515619318828726,355995,59.989768201869616,59.96271112548538,7986,9.38387269285691,3.60664501303836,4669922,7.384565069357741,2.374415747564556,20755070,7.790348933553948
3,145.728976333,36.26586909499997,181.9948756189999,4.636195038035512,4.362642416507006,0.008147207310394151,2.7190925642848014,0.000278495479033154,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,4.309340180009603,2.9835369569808243,2.391078244112432,2.2238957334682343,2.139104284141213,0.15359542846679688,0.11941917419433594,0.16489013671875,0.37107025146484374,0.3256410217285156,0.19470169067382812,0.2089306640625,5.62101923052824,1.802333025642674,10.921116486259168,4.785248112737853,0.06653182139579035,0.930483557280962,0.9667591242506586,0.9860503397601855,25424992,5.2642846930027005,1.7950742745399475,10.262337252497673,5.207602407932281,0.06847170041874051,0.9275823074579239,0.9658986306190491,0.9856866128742695,1.0575509863346815,0.4540988467261195,3.2965150792292444,2.3181436284062844,16.45112510205541,14.240575696631385,33.40953905989484,30.05483425729643,51.05449637555061,51.019107282922626,6.486647168248892,2.607413497120142,4.936222140565515,1.6404339925944804,1.0708586274016336,0.43798908856790153,19685953,3.298019317811996,2.3279155270574825,4254287,16.67117122396379,14.395354657175492,1120771,33.58887072790148,30.20437932042393,355995,51.69878788725936,51.58345068805713,7986,6.843234875825973,2.529948589641694,4669922,5.307370611419108,1.6386184273923605,20755070,5.62101923052824
4,146.72415509099983,35.92903404100002,182.65321642799995,3.732235275655985,3.529621223807335,0.005040995702438522,2.01590543679893,0.00030612260436100767,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,3.8084034918248655,2.7157979295402765,2.3061768373660745,2.1613827506639063,1.410385660789907,0.1557366943359375,0.121226806640625,0.16665985107421874,0.33739715576171875,0.2967567443847656,0.17594451904296876,0.24251480102539064,5.246054135989332,1.5598109190623097,9.269541830007533,3.947392457328502,0.05629032740550724,0.9394505610857222,0.9713558611935846,0.9895014322915028,25424992,4.896532551422715,1.5555853309109806,8.888880525231361,4.279244259595871,0.058092391821555796,0.9372316828370094,0.9707212364673614,0.9892088031768799,0.9507212951779366,0.3787545309960842,2.6763440172378004,1.6979744423847054,15.095931836449395,12.97346097276879,31.969633593468807,28.740925543353487,49.516504052344786,49.48579819050241,6.0538277844339605,2.2712092964351176,4.584645324572921,1.4212057577818633,0.9760776895079445,0.36178934234262433,19685953,2.6512436681914795,1.6817940167627665,4254287,15.312781886630654,13.110918991326415,1120771,32.16369422420505,28.899671723845,355995,50.026801424404624,49.92503306204712,7986,6.408539353675668,2.194499633569437,4669922,4.946988756514757,1.417005003316283,20755070,5.246054135989332
5,146.11854802300013,36.973426015000086,183.09199957600003,3.132300542294979,2.9637081994488836,0.0037771723944752013,1.6782199500501156,0.0002981453500342468,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,3.554365304633975,2.571475366987288,2.1044550796970727,1.9109642223455012,1.0472465087287128,0.15789138793945312,0.121942138671875,0.16684463500976562,0.32130722045898436,0.28271697998046874,0.15886444091796875,0.25459976196289064,2.0924875149053466,0.6964337188569715,54.43974582795132,2.875387887443829,0.0364215187679596,0.981836021816644,0.9945107160702351,0.9976484161725596,25424992,2.006576486453414,0.7079831325635314,11.513769267201424,3.2471162229776382,0.03875153907574713,0.9792735008895397,0.993529559969902,0.9971452218294143,0.9246528021991253,0.32050931055098775,2.4711991718193747,1.389197967815159,5.524551973857733,3.8136598662422982,9.5641391083477,6.558287700017293,27.412321064320018,25.914882459031773,2.7824989038705827,1.1038964243605733,1.792108236849308,0.6287258527800441,0.964004375114244,0.30155510714974104,19685953,2.4724042013397436,1.3614160353154725,4254287,5.225809857802632,3.4330849742742964,1120771,9.01191528359328,5.381669344351726,355995,30.654481966294693,26.924380225284995,7986,2.847940163956659,1.0529463319161165,4669922,1.881153915767308,0.6162178457800461,20755070,2.0924875149053466
6,146.33200417599983,37.539576506,183.87160725599983,2.315640237890184,2.1881207139045,0.002583657058348763,1.2698771749436855,0.00030149004480335863,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,3.325462138578296,2.4471226482838393,1.7957055282592773,1.4522297937516122,0.6020940562710166,0.159151611328125,0.12252662658691406,0.167271728515625,0.30800949096679686,0.2719816589355469,0.14408798217773439,0.2318011474609375,1.994591449253091,0.6791337634419474,34.154803103236155,2.7331169397467265,0.03509833455861897,0.9843664847564161,0.9949989758108871,0.9977691241751423,25424992,1.9128886525332929,0.6895664148032665,11.002726617455483,3.0871530029177667,0.03733195905108005,0.9818950945138931,0.9940297368168831,0.9972606217861175,0.9209103991091251,0.3161427945271134,2.4025962935286747,1.2740341273302995,5.687242551450558,4.131523480452119,7.7239394142698785,5.334888944457863,20.99246443484692,19.60996289963418,2.626672260686755,1.0491134572401644,1.7163116673380137,0.6178436412289738,0.9630368157466771,0.296927337582313,19685953,2.4126652474284778,1.2391683379790186,4254287,5.483307377855068,3.9017214101433426,1120771,7.438639654091773,4.541176874250269,355995,24.34433835664659,20.07546490689074,7986,2.686348681935816,1.0037394547958698,4669922,1.80272668640411,0.6060969932458163,20755070,1.994591449253091
7,144.17229198899986,37.71095276400001,181.88327333799998,1.809352896399796,1.6904209278523923,0.0023148945472348716,1.184561820551753,0.00025616776430069876,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,3.133735605850816,2.3519749005883934,1.3644567650184036,0.848693424006924,0.5330757497251034,0.160364990234375,0.12307296752929688,0.16803878784179688,0.2965272521972656,0.2704351806640625,0.13625350952148438,0.19525177001953126,1.761093060796302,0.5913413429421814,43.34497689029892,2.9468989623661925,0.03460313973126462,0.9850022371688455,0.9951073337604197,0.9978214349093993,25424992,1.6989867906272411,0.6055485089495778,12.693865022361278,3.3511015978455543,0.037158349007368086,0.9823897898197174,0.9941441063582898,0.9973145404458046,0.9215142639353872,0.3303221885114908,2.2117156441926356,1.0961443278140925,4.465349989256087,2.978927828658822,7.156546653447759,4.8566772517796135,19.666995732327724,18.294823709447332,2.404399622827768,0.9417733146622776,1.5000252783298493,0.5373244923353195,0.960495858052898,0.310421218672832,19685953,2.204959393123511,1.0471290557979953,4254287,4.135264466381755,2.578174158397564,1120771,6.865956983991527,4.027332780544646,355995,22.5518434872412,18.265798934145497,7986,2.4551485486210813,0.8955615679356167,4669922,1.5630181075468903,0.5228913314797714,20755070,1.761093060796302
8,142.8338363150001,37.72331018700015,180.55717063699967,1.4832970614358783,1.3719835483655334,0.0020964893923519413,1.108816685974598,0.00025095022636378416,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,3.002501792013645,2.283631619438529,1.0802589293383063,0.5280806617438794,0.4593902263324708,0.16091842651367189,0.12367889404296875,0.16876556396484374,0.29608154296875,0.2696653747558594,0.13848464965820312,0.18613113403320314,1.6906182659701077,0.5408762538451124,359.6872465986229,2.8344010597734406,0.030413996753489946,0.9863690025939831,0.9954454262955127,0.9979380917799305,25424992,1.6249857588857413,0.5539704940468073,54.13716584712267,3.560408879518509,0.03256841924972832,0.9842319473624229,0.994625845104456,0.9974982510507107,0.8985670510306955,0.2947892396338284,2.1432236204819954,1.042553925018767,4.109581107958423,2.67793312630494,6.846720174722232,4.573226603389109,19.38474169792013,17.889668614813623,2.3069488075375557,0.8714612036943435,1.4314804005622863,0.4896397403627634,0.9455594669837494,0.2761530414318064,19685953,2.140655708257544,0.9987557416414492,4254287,3.821376122851376,2.3125597853221476,1120771,6.567789124657883,3.7528231984837426,355995,21.95961147498813,17.356475608437812,7986,2.359326274804857,0.8281801499357886,4669922,1.4996113638378952,0.4762324448790743,20755070,1.6906182659701077
9,141.72383412,36.68844538500025,178.412303265,1.3442494697123766,1.2388189361616968,0.0018788427672552642,1.0504230657964946,0.00024913637077588646,1.0,0.19999999999999932,0.09999999999999966,0.04999999999999983,2.894706643745303,2.2324900562129915,0.9556582242809236,0.44957906767725947,0.4071305044554174,0.16176589965820312,0.124049072265625,0.16900909423828125,0.28748870849609376,0.27406341552734376,0.13950958251953124,0.188648681640625,1.6301989634090217,0.5465745927163633,62.24281080199179,2.632745162988891,0.03198411970553937,0.9870730342806008,0.9955812375476853,0.9980058597461899,25424992,1.572010110914707,0.5577614467218518,15.291422240436077,2.9767752167582513,0.03389457448618487,0.9851753163337708,0.994817828387022,0.9975909826159477,0.9191554518416524,0.325129962824285,2.0929275444833095,1.0142151813963498,3.868672981666722,2.4521622388099336,6.5357460138920525,4.302802973323399,17.871913623809814,16.6090901334235,2.249509632140398,0.8686335923150181,1.379273481592536,0.4946199779585004,0.9634410226995169,0.30739255729945486,19685953,2.0940439839243257,0.9789835808140969,4254287,3.5895232288729306,2.0798635685806506,1120771,6.116981378844292,3.4450633785212603,355995,18.986827380291135,15.400201483654135,7986,2.299204387505956,0.8265463161887435,4669922,1.4373818059462633,0.48358053453786004,20755070,1.6301989634090217
