epoch,train_loss,train_L_metric_multiscale,train_L_teacher_multiscale,train_L_sparse_pre_anchor,train_L_range,train_L_boundary,train_L_cycle,train_L_ssi,train_L_ord,train_L_C,train_L_C_calib,train_L_plane,train_w_cm,train_w_ssi,train_w_ord,train_w_C,train_cm_valid_ratio,train_cm_non_gt_ratio,train_geom_valid_ratio,train_gt_D16,train_gt_D8,train_gt_D4,train_gt_D2,train_gt_D1,val_rmse,val_mae,val_irmse,val_imae,val_abs_rel,val_delta1,val_delta2,val_delta3,val_rmse_0_20,val_mae_0_20,val_rmse_20_40,val_mae_20_40,val_rmse_40_60,val_mae_40_60,val_rmse_60_80,val_mae_60_80,val_rmse_80_120,val_mae_80_120,val_rmse_edge,val_mae_edge,val_rmse_nonedge,val_mae_nonedge,best_rmse
0,1.898029278665781,0.13857379572466016,0.0,8.795890426039696,26.389437153339387,0.0014185269003428402,0.006775394755713933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999995213747025,0.8441160795092583,0.0,0.06603103091940284,0.06455884011927993,0.06254609978292137,0.05768443506211043,0.05366138016339392,6.081284380555153,4.344365901052952,46.823872990608216,30.298944110870362,0.5019694118574262,0.5325115014985203,0.6897600562497973,0.8213856010138989,6.029404947757721,4.60789693415165,3.3104864381422625,2.006005110458403,8.228785511154136,5.8871740127284,15.240582550121193,11.181942841547938,40.037337428965465,38.230501061297474,6.141755639314652,4.16611807346344,6.063390679955482,4.386197926998139,6.081284380555153
1,0.8513369048014283,0.09088324225973338,0.0,3.7946973811089992,13.388852211833001,0.006485814044426661,0.04327957171713934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999995213747025,0.8441160786151886,0.0,0.0590445079933852,0.056351326773874465,0.05376996069680899,0.03354835996520705,0.028716689556604252,4.346714125275612,2.8425528740882875,38.1978279042244,22.984902309179304,0.32069709032773974,0.6479973473399877,0.8056436412781477,0.9114772856235505,4.167276121973991,2.8753429886698725,3.054589477233983,1.7923042356817789,6.973619619800989,4.871542308967953,10.979095523596456,7.859771243278896,22.001300058973598,19.06692276203886,4.6386899709701535,2.869112495183945,4.28153961956501,2.843183390498161,4.346714125275612
2,0.553839141279459,0.06538786677177995,0.0,2.434375079125166,9.461288405060769,0.00545284733409062,0.05154841945972294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999995213747025,0.8441160792857408,0.0,0.05034090985311195,0.04665630811592564,0.043555831341072916,0.02209235915681347,0.018135529855499044,2.955431695878506,1.7161427803337574,25.318436641693115,14.195588997602464,0.17181471414864063,0.8009831583872438,0.9398417110741139,0.9720700027048588,2.5769639441370966,1.5739618828892707,2.745981169587719,1.6131971430418173,5.309106238397044,3.667003826800839,9.166700640991127,6.384522631239439,21.593977808445057,18.83365974527724,3.5152815943956375,1.9465688417851925,2.82020662933588,1.6751281157135964,2.955431695878506
3,0.39409684309735893,0.0393974805099424,0.08140577647369356,1.7123066082596778,8.44864069879055,0.0029240352062333843,0.05457634279504418,0.0,0.0,0.0,0.0,0.0,0.13333333333333575,0.0,0.0,0.0,0.9999995213747025,0.8441160789132118,0.0,0.037988070310093464,0.033046531286090614,0.030031050209654495,0.011157884255808312,0.00916642798401881,2.22887583181262,1.0224831518530846,14.677216643095017,7.189373778104782,0.07841686091385781,0.9432149931043387,0.9819928421080113,0.9924705322086811,1.549457708746195,0.7174809427559375,2.5665365793843113,1.484849487654208,5.1562139227948025,3.6465730621146664,8.838348401594292,6.20536582773617,20.783151562670444,18.388251013451434,2.9867072977125644,1.378796823695302,2.030482040643692,0.9530871953070164,2.22887583181262
4,0.32586248820647595,0.02823714790865779,0.06911406118422747,1.390105873271823,7.64797298014164,0.0016833712831430603,0.0502703306870535,0.0,0.0,0.0,0.0,0.0,0.2666666666666715,0.0,0.0,0.0,0.9999995213747025,0.8441160798817873,0.0,0.029711913937935607,0.02576668997760862,0.02330467387859244,0.00711446423723828,0.0058106237369065636,2.1628449077904226,1.017063583135605,13.641476684808731,7.350688477754593,0.07773218508809805,0.9576611658930778,0.988152015209198,0.995100269317627,1.4908538331091403,0.7363288574665785,2.498883969537557,1.4011938178569303,5.027899558256095,3.5998833590117703,8.69825879151259,6.134732228953664,21.588195794693966,19.351002388812127,2.9374421292543413,1.367125059813261,1.9570809969305991,0.9480008519440889,2.1628449077904226
5,0.2941036565415561,0.022620417705038563,0.06329510517185553,1.184854590818286,7.806057800203562,0.001376935442094691,0.04878044974058866,0.11474926871713251,0.6933478631824255,0.0,0.0,0.0,0.39999999999999863,0.009999999999999842,0.009999999999999842,0.0,0.9999995213001966,0.8441160786151886,0.9999999403953552,0.026189503038767725,0.02180573682417162,0.01934646428911947,0.005279238393850392,0.004206267254048725,2.0035129020363094,0.8347096445038915,11.738016517162324,6.0553848451375965,0.059860301930457355,0.9742108716070652,0.9910871064662934,0.9957798957824707,1.3706645759195089,0.5912764448300004,2.5130660230626987,1.2440895103387328,4.285392429344451,2.8201238909846404,7.771872413836844,5.287923867140359,21.40413263300632,19.18397731375187,2.81466784350574,1.1941370598226786,1.778837703615427,0.7621950598806143,2.0035129020363094
6,0.28047052789479493,0.020082121081650257,0.06009062768192962,1.0954321845620871,7.2708212059736255,0.0012979188751342007,0.046819047881290314,0.11663488870952278,0.6933422433584928,0.0,0.0,0.0,0.39999999999999863,0.019999999999999685,0.019999999999999685,0.0,0.9999995213001966,0.844116078466177,0.9999999403953552,0.023682039675768464,0.019428154095658103,0.01700287887651939,0.004728105397953186,0.0037174607781344095,1.9797301322966814,0.8342148624360561,10.518873838186265,5.434527803063393,0.060291332611814144,0.9750297097861766,0.9908150574564933,0.9956352078914642,1.3749798557907342,0.5954710134863853,2.3868594340773615,1.2272821663308804,4.1575188432990124,2.769392989595016,8.104164330293816,5.6789928277333575,21.62455102027731,19.833502128276418,2.7795595778524875,1.182988682091236,1.7579018682986498,0.7637834693863987,1.9797301322966814
7,0.2689481535926461,0.01729096220456995,0.056495306931901725,1.0184979957342148,7.453051665723324,0.0012568168884172337,0.044361024571117014,0.11821616937406361,0.6933359818160534,0.0,0.0,0.0,0.39999999999999863,0.03000000000000019,0.03000000000000019,0.0,0.9999995213747025,0.844116078838706,0.9999999403953552,0.02091076271026395,0.016752693214220925,0.014436933846736793,0.004120034544612281,0.0031905494414968417,1.9264635296165944,0.7033957935124636,8.266873339414596,3.567794192135334,0.04346063648350537,0.9785984605550766,0.9919361065328122,0.9960468330979347,1.2707019382715226,0.4237441173195839,2.348422430024039,1.1989478545465158,4.220173085563287,2.877012624838665,8.169691928356967,5.806512936667052,21.14224018746234,19.430243090365796,2.7334799461811783,1.0770353088155389,1.6992420080304145,0.6280239620059729,1.9264635296165944
